path,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_mtime,st_ctime
/home/w/weismanm/.vim/bundle/vim-startify/CONTRIBUTING.md,33188,40371723,24,1,2363,2002,876,1378929272.81641,1378835842.0,1378929272.8204103
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/141/data/-26938006,16877,40506874,24,2,2363,2002,4096,1380677714.8973467,1380677714.8973467,1380677714.8973467
/home/w/weismanm/Documents/CS112/CompressionLab/lz4-read-only/cmake/.svn/text-base/CMakeLists.txt.svn-base,33060,42994933,24,1,2363,2002,3183,1363278302.7973278,1363278302.8013277,1363278303.0573308
/home/w/weismanm/Documents/CS112/CompressionLab/psae.7z,33188,42864808,24,1,2363,2002,1142,1363279248.2247639,1363279248.232764,1363279248.236764
/home/w/weismanm/Documents/cs290f2013-lab7-team3/cs290f2013-lab7-team3/lib/ant-apache-resolver.jar,33188,43125900,24,1,2363,2002,6272,1383771828.9217894,1383771828.9257894,1383771828.9257894
/home/w/weismanm/.eclipse/org.eclipse.platform_4.3.0_1473617060_linux_gtk_x86_64/configuration/org.eclipse.osgi/bundles/216/1/.cp/icons/full/etool16,16877,40895236,24,2,2363,2002,4096,1380129882.7369018,1380129894.8410506,1380129894.8410506
/home/w/weismanm/.cache/wallpaper,16832,42860861,24,2,2363,2002,4096,1351839333.4334948,1391455781.493641,1391455781.493641
/home/w/weismanm/.vim/autoload/fakepoll.h,33188,39331080,24,1,2363,2002,4759,1378929279.764495,1372282334.0,1378929279.768495
/home/w/weismanm/Dropbox,16832,42860828,24,4,2363,2002,4096,1351839344.6456282,1354131380.64787,1354131380.64787
/home/w/weismanm/.gconf/desktop/gnome/applications,16832,42865309,24,3,2363,2002,4096,1367941819.7254283,1367941819.7334285,1367941819.7334285
/home/w/weismanm/Documents/CS290/cs290F2013-lab4-team3/src/edu/allegheny/datagenTest/DatagenTests.java,33188,42865739,24,1,2363,2002,394,1381342043.2560718,1381342043.260072,1381342043.260072
